	labels	POS	POS2	occurence	references	relevant	Sim Word 0	Sim Word 1	Sim Word 2	Sim Word 3	Sim Word 4	Sim Word 5	Sim Word 6	Sim Word 7	Sim Word 8	Sim Word 9	Sim Probability 0	Sim Probability 1	Sim Probability 2	Sim Probability 3	Sim Probability 4	Sim Probability 5	Sim Probability 6	Sim Probability 7	Sim Probability 8	Sim Probability 9
0	the	DT	NNP	353165	[[2661, 2], [1596, 1], [1262, 24]]	True	its	mankind	our	this	upper	sweeping	smallest	which	itself	another	0.4946920573711395	0.4324524998664856	0.41792532801628113	0.39589518308639526	0.38801243901252747	0.38699212670326233	0.3808201551437378	0.37789252400398254	0.3756081163883209	0.36029836535453796
1	and	CC	NNP	252092	[[4154, 32], [2556, 71], [4305, 28]]	True	when	but	so	then	because	to	until	while	where	finally	0.5388692617416382	0.44080567359924316	0.4352540969848633	0.4207049012184143	0.4202926754951477	0.41952839493751526	0.3819182217121124	0.3748425543308258	0.3740963637828827	0.3424796164035797
2	to	TO	NNP	222613	[[2909, 80], [116, 36], [4383, 127]]	True	permission	let	and	letting	ambition	they	please	will	would	'll	0.511335015296936	0.49370118975639343	0.41952839493751526	0.40678274631500244	0.4064934253692627	0.39259615540504456	0.3873996138572693	0.38691046833992004	0.3852008283138275	0.38349419832229614
3	of	IN	NNP	195114	[[19, 21], [1274, 47], [1832, 41]]	True	including	in	representing	among	inherent	throughout	represents	involving	cultural	covering	0.44835832715034485	0.37989258766174316	0.370113343000412	0.3487139940261841	0.3479200303554535	0.331687867641449	0.328578382730484	0.317414253950119	0.31441664695739746	0.3130200207233429
4	a	DT	NNP	178603	[[3387, 137], [1668, 51], [3784, 26]]	True	another	this	every	whole	an	coke	the	any	bucks	perfect	0.6623311638832092	0.5637016892433167	0.4198004901409149	0.385047972202301	0.36981505155563354	0.3333679735660553	0.3320985436439514	0.3281095623970032	0.31662726402282715	0.3040628135204315
5	that	IN	DT	159979	[[4188, 28], [1702, 92], [3794, 148]]	True	which	what	because	this	actually	it	but	where	so	although	0.6799195408821106	0.6346961259841919	0.6207071542739868	0.5779752731323242	0.5750741958618164	0.5622561573982239	0.5181025862693787	0.5011100769042969	0.49376413226127625	0.4679023027420044
6	i	PRP	NN	135550	[[2338, 0], [3805, 115], [769, 4]]	True	myself	you	we	dad	she	he	me	they	mom	sorry	0.6692062020301819	0.6089849472045898	0.5394219160079956	0.5282790064811707	0.5207449793815613	0.5094196200370789	0.5015707612037659	0.48597073554992676	0.47556087374687195	0.45146679878234863
7	in	IN		132244	[[4111, 114], [2742, 3], [651, 126]]	True	throughout	within	into	across	during	under	of	outside	around	occupy	0.5244049429893494	0.5166800618171692	0.5016623735427856	0.4317619800567627	0.40917378664016724	0.39747607707977295	0.37989258766174316	0.3683117628097534	0.35817283391952515	0.3541981279850006
8	it	PRP	NNP	119771	[[1755, 30], [2319, 23], [4247, 3]]	True	something	that	this	thing	mcdonald	what	just	really	everything	everybody	0.6061428189277649	0.5622561573982239	0.5011543035507202	0.4803299605846405	0.4731880724430084	0.47009432315826416	0.4572194814682007	0.4520290791988373	0.4478667080402374	0.4450567960739136
9	we	PRP	NNP	114089	[[1792, 117], [1971, 54], [1001, 88]]	True	they	you	i	humans	ourselves	robots	actually	brains	algorithms	tools	0.7906506061553955	0.6902375221252441	0.5394218564033508	0.531393826007843	0.5278785228729248	0.4865095317363739	0.43010252714157104	0.4243411719799042	0.41959983110427856	0.4140240252017975
10	you	PRP		111752	[[3053, 54], [2923, 58], [2291, 110]]	True	we	yourself	they	i	please	somebody	guys	yours	ok	them	0.6902375817298889	0.6316561102867126	0.616961658000946	0.6089850068092346	0.46386903524398804	0.4565828740596771	0.4431101977825165	0.43084192276000977	0.4291394054889679	0.427749902009964
11	is	VBZ	NNP	103921	[[4058, 47], [2406, 146], [3507, 136]]	True	's	exists	becomes	means	was	makes	gets	works	matters	seems	0.7568516135215759	0.5617144107818604	0.5337061285972595	0.5241939425468445	0.5144930481910706	0.5111404657363892	0.4980746805667877	0.4937397539615631	0.49100250005722046	0.483498215675354
12	's	VBZ	POS	87857	[[4072, 92], [3814, 46], [244, 67]]	True	is	feels	looks	seems	exists	was	works	knows	gets	has	0.7568515539169312	0.5537593364715576	0.5387258529663086	0.5272670984268188	0.5240421891212463	0.5052754282951355	0.49941378831863403	0.491364449262619	0.4728488326072693	0.469256728887558
13	this	DT		77350	[[1514, 39], [2401, 78], [1865, 17]]	True	that	a	which	another	it	an	what	here	the	simplicity	0.577975332736969	0.5637018084526062	0.5569491386413574	0.5540651082992554	0.501154363155365	0.4224424958229065	0.4184320867061615	0.39998307824134827	0.3958951234817505	0.38867202401161194
14	so	RB	IN	58742	[[2856, 40], [3130, 2], [715, 56]]	True	but	because	really	how	actually	however	now	pretty	why	that	0.6171450614929199	0.6047143936157227	0.5908687114715576	0.5837733149528503	0.5154839158058167	0.5152300000190735	0.5121293663978577	0.501685619354248	0.4992648661136627	0.49376413226127625
15	they	PRP		54968	[[904, 17], [224, 54], [900, 5]]	True	we	you	i	themselves	them	employers	kids	wives	parents	tails	0.7906506657600403	0.6169617176055908	0.4859708249568939	0.4751160740852356	0.45816901326179504	0.4546895921230316	0.4474155306816101	0.4462149143218994	0.4419268071651459	0.441792368888855
16	for	IN		54527	[[431, 2], [428, 143], [384, 56]]	True	within	after	offering	spends	given	spent	ago	alongside	offers	offered	0.4379359483718872	0.4087730050086975	0.38474753499031067	0.35817381739616394	0.35285356640815735	0.34778687357902527	0.33521610498428345	0.3347887098789215	0.3335280120372772	0.3268880844116211
17	was	VBD	NNP	52948	[[511, 0], [1225, 16], [1446, 60]]	True	became	felt	were	knew	is	's	realized	am	had	saw	0.6125209331512451	0.5806924700737	0.5743260383605957	0.5502068400382996	0.5144930481910706	0.5052754282951355	0.4980926513671875	0.4571438431739807	0.4560307562351227	0.4507943093776703
18	are	VBP	NNP	50289	[[3828, 150], [3247, 44], [2121, 64]]	True	're	were	is	aren	re	am	keep	'm	live	represent	0.7232703566551208	0.6995412707328796	0.4560408294200897	0.44014254212379456	0.4356749653816223	0.3886982500553131	0.3828868269920349	0.35573258996009827	0.3541524410247803	0.3511200547218323
